day,os_name,country,events,campaign_id,creative_id_network,creative_network,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026/2/9,android,US,0,120238648236360510,120238648236390510,VID11-合成角色展示-Vincent-通用,120238648236390510,VID11-合成角色展示-Vincent-通用,176.09,12,0,0,0,8952,184,1146,915,4
2026/2/10,android,TW,0,6939195938352,6939210114752,PIC21-合成火法师-Vincent-繁中,,,0,12,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,6970072321780,6970160770580,VID11-合成角色展示-Vincent-通用,,,0,12,0,0,0,0,0,0,0,0
2026/2/9,android,BR,0,120239366594720510,120239366594800510,PIC32-机械族阵容-Vincent-英语,120239366594800510,PIC32-机械族阵容-Vincent-英语,13.25,11,0,0,0,5234,148,14,10,2
2026/2/9,android,BR,0,120239366394730510,120239409035370510,VID25-合成合成合成-Vincent-英语,120239409035370510,VID25-合成合成合成-Vincent-英语,57.49,11,0,0,0,34387,607,3231,1669,3
2026/2/9,android,US,0,120238648236360510,120239358530960510,VID22-选择+闯关-Vincent-英语,120239358530960510,VID22-选择+闯关-Vincent-英语,403.67,11,0,0,0,14757,367,2521,2189,6
2026/2/9,android,US,0,120238607155630510,120239422701200510,PIC五图01-英语,120239422701200510,PIC五图01-英语,206.93,11,0,0,0,17901,360,2,1,2
2026/2/10,android,KR,0,6931591409752,6931593311552,PIC08-升级进化-Vincent-韩语,,,0,11,0,0,0,0,0,0,0,0
2026/2/10,android,TW,0,6939195938352,6939856067152,PIC五图01-繁中,,,0,11,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,120238607155630510,120239357471640510,PIC19-合成修理师-Vincent-英语,120239357471640510,PIC19-合成修理师-Vincent-英语,84.71,11,0,0,0,8237,134,0,0,0
2026/2/9,android,BR,0,120239366594720510,120239366795320510,PIC08-升级进化-Vincent-英语,120239366795320510,PIC08-升级进化-Vincent-英语,8.54,10,0,0,0,7123,99,0,0,0
2026/2/9,android,BR,0,120239366594720510,120239366594810510,PIC33-魔族阵容-Vincent-英语,120239366594810510,PIC33-魔族阵容-Vincent-英语,9.68,10,0,0,0,4512,141,6,4,5
2026/2/9,android,KR,0,6931591409752,6939192111752,PIC19-合成修理师-Vincent-韩语,,,0,10,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939217868352,6939743275552,VID22-选择+闯关-Vincent-繁中,,,0,10,0,0,0,0,0,0,0,0
2026/2/10,android,BR,0,120239366594720510,120239531590770510,PIC34-神族阵容-Vincent-英语,,,0,10,0,0,0,0,0,0,0,0
2026/2/10,android,KR,0,6931593682152,6939193504352,VID11-合成角色展示-Vincent-韩语,,,0,10,0,0,0,0,0,0,0,0
2026/2/10,android,TW,0,6939195938352,6939210114752,PIC21-合成火法师-Vincent-繁中,,,0,10,0,0,0,0,0,0,0,0
2026/2/9,android,BR,0,120239366394730510,120239531552730510,VID06-LUDUS战斗-Vincent,120239531552730510,VID06-LUDUS战斗-Vincent,12.76,9,0,0,0,5566,86,446,229,3
2026/2/9,android,KR,0,6931591409752,6939191252952,PIC16-4级蛇女-Vincent-韩语,,,0,9,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939195938352,6939210114352,PIC19-合成修理师-Vincent-繁中,,,0,9,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939217868352,6939219987752,VID12-英雄展示1-Abbey-通用,,,0,9,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939195938352,6939210114752,PIC21-合成火法师-Vincent-繁中,,,0,9,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939217868352,6939220724952,VID10-选择英雄+战斗-Vincent,,,0,9,0,0,0,0,0,0,0,0
2026/2/9,android,US,0,6970072321780,6970072322380,PIC21-合成火法师-Vincent-英语,,,0,9,0,0,0,0,0,0,0,0
2026/2/10,android,BR,0,120239366394730510,120239409035370510,VID25-合成合成合成-Vincent-英语,,,0,9,0,0,0,0,0,0,0,0
2026/2/10,android,KR,0,6931593682152,6939193162952,VID18-角色展示轮播-Vincent-韩语,,,0,9,0,0,0,0,0,0,0,0
2026/2/10,android,TW,0,6939195938352,6939210114152,PIC18-合成加特林-Vincent-繁中,,,0,9,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,6970072321780,6970072322380,PIC21-合成火法师-Vincent-英语,,,0,9,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,6970072321780,6970282527780,VID11-合成角色展示-Vincent-通用,,,0,9,0,0,0,0,0,0,0,0
2026/2/11,android,BR,0,120239366594720510,120239366594860510,PIC21-合成火法师-Vincent-英语,,,0,9,0,0,0,0,0,0,0,0
2026/2/3,android,ID,0,120238770649640510,120239279840130510,PIC12-战斗PVP-Vincent-英语,120239279840130510,PIC12-战斗PVP-Vincent-英语,11.29,8,0,0,0,12432,286,2,1,2
2026/2/3,android,ID,0,120238770649640510,120239297880900510,PIC34-神族阵容-Vincent-英语,120239297880900510,PIC34-神族阵容-Vincent-英语,4.25,8,0,0,0,5422,107,1,0,6
2026/2/3,android,ID,0,120238770649640510,120239024373250510,PIC21-合成火法师-Vincent-英语,120239024373250510,PIC21-合成火法师-Vincent-英语,11.41,8,0,0,0,16883,458,0,0,0
2026/2/9,android,BR,0,120239366394730510,120239531552730510,VID06-LUDUS战斗-Vincent,120239531552730510,VID06-LUDUS战斗-Vincent,12.76,8,0,0,0,5566,86,446,229,3
2026/2/9,android,BR,0,120239366594720510,120239531590770510,PIC34-神族阵容-Vincent-英语,120239531590770510,PIC34-神族阵容-Vincent-英语,28.81,8,0,0,0,18634,330,5,3,2
2026/2/9,android,BR,0,120239366594720510,120239366594870510,PIC22-合成蛇女-Vincent-英语,120239366594870510,PIC22-合成蛇女-Vincent-英语,2.69,8,0,0,0,1523,34,0,0,1
2026/2/9,android,KR,0,6931591409752,6931593311552,PIC08-升级进化-Vincent-韩语,,,0,8,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939195938352,6939216112352,PIC04-合成场景版-Vincent-繁中,,,0,8,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939195938352,6939216112552,PIC06-立绘卡牌展示-Vincent-繁中,,,0,8,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939217868352,6939743275552,VID22-选择+闯关-Vincent-繁中,,,0,8,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939217868352,6939220724952,VID10-选择英雄+战斗-Vincent,,,0,8,0,0,0,0,0,0,0,0
2026/2/9,android,US,0,120238648236360510,120238648236390510,VID11-合成角色展示-Vincent-通用,120238648236390510,VID11-合成角色展示-Vincent-通用,176.09,8,0,0,0,8952,184,1146,915,4
2026/2/9,android,US,0,6970072321780,6970160770180,PIC五图01-英语,,,0,8,0,0,0,0,0,0,0,0
2026/2/9,android,US,0,120238648236360510,120239408869050510,VID18-角色展示轮播-Vincent-英语,120239408869050510,VID18-角色展示轮播-Vincent-英语,128.4,8,0,0,0,7166,112,945,626,3
2026/2/9,android,US,0,6970072321780,6970160770580,VID11-合成角色展示-Vincent-通用,,,0,8,0,0,0,0,0,0,0,0
2026/2/10,android,BR,0,120239366594720510,120239366594730510,PIC17-4级巫妖-Vincent-英语,,,0,8,0,0,0,0,0,0,0,0
2026/2/10,android,,0,,unknown,unknown,,,0,8,0,0,0,0,0,0,0,0
2026/2/10,android,KR,0,120241467475180572,120241486368860572,VID24-DMG战斗2-Vincent-韩语,,,0,8,0,0,0,0,0,0,0,0
2026/2/10,android,TW,0,6941413175152,6941413182752,PIC五图01-繁中,,,0,8,0,0,0,0,0,0,0,0
2026/2/10,android,TW,0,6939195938352,6939210114752,PIC21-合成火法师-Vincent-繁中,,,0,8,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,120238607155630510,120239528904130510,PIC21-合成火法师-Vincent-英语,120239528904130510,PIC21-合成火法师-Vincent-英语,84.23,8,0,0,0,10183,146,0,0,0
2026/2/11,android,BR,0,120239366394730510,120239409035370510,VID25-合成合成合成-Vincent-英语,,,0,8,0,0,0,0,0,0,0,0
2026/2/3,android,ID,0,120238770649640510,120238770649810510,VID15-卡牌滚动-Abbey-英语,120238770649810510,VID15-卡牌滚动-Abbey-英语,21.12,7,0,0,0,17523,808,3622,1746,3
2026/2/3,android,,0,,unknown,unknown,,,0,7,0,0,0,0,0,0,0,0
2026/2/9,android,,0,,unknown,unknown,,,0,7,0,0,0,0,0,0,0,0
2026/2/9,android,,0,,unknown,unknown,,,0,7,0,0,0,0,0,0,0,0
