day,os_name,country,events,campaign_id,creative_id_network,creative_network,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks
2026-02-11,android,BR,0,"=""120239366394730510""","=""120239409035370510""",VID25-合成合成合成-Vincent-英语,"=""120239409035370510""",VID25-合成合成合成-Vincent-英语,57.49,8,0.0,0,0,34387.0,607.0
2026-02-03,android,ID,0,"=""120238770649640510""","=""120238770649810510""",VID15-卡牌滚动-Abbey-英语,"=""120238770649810510""",VID15-卡牌滚动-Abbey-英语,21.12,7,0.0,0,0,17523.0,808.0
2026-02-03,android,,0,,"=""unknown""",unknown,,,0.0,7,0.0,0,0,0.0,0.0
2026-02-09,android,,0,,"=""unknown""",unknown,,,0.0,7,0.0,0,0,0.0,0.0
2026-02-09,android,,0,,"=""unknown""",unknown,,,0.0,7,0.0,0,0,0.0,0.0
2026-02-09,android,KR,0,"=""6931591409752""","=""6939191252952""",PIC16-4级蛇女-Vincent-韩语,,,0.0,7,0.0,0,0,0.0,0.0
2026-02-09,android,KR,0,"=""6931591409752""","=""6939853826152""",PIC五图05-韩语,,,0.0,7,0.0,0,0,0.0,0.0
2026-02-09,android,US,0,"=""6970072321780""","=""6970160770180""",PIC五图01-英语,,,0.0,7,0.0,0,0,0.0,0.0
2026-02-09,android,US,0,"=""120238607155630510""","=""120239422701180510""",PIC五图04-英语,"=""120239422701180510""",PIC五图04-英语,61.34,7,0.0,0,0,6110.0,84.0
2026-02-09,android,US,0,"=""6970072321780""","=""6970072322580""",PIC18-合成加特林-Vincent-英语,,,0.0,7,0.0,0,0,0.0,0.0
2026-02-09,android,US,0,"=""120238607155630510""","=""120239357471640510""",PIC19-合成修理师-Vincent-英语,"=""120239357471640510""",PIC19-合成修理师-Vincent-英语,256.14,7,0.0,0,0,26209.0,364.0
2026-02-10,android,BR,0,"=""120239366594720510""","=""120239423107460510""",PIC五图04-英语,"=""120239423107460510""",PIC五图04-英语,57.07,7,0.0,0,0,47128.0,1020.0
2026-02-10,android,BR,0,"=""120239366594720510""","=""120239366594850510""",PIC20-合成厨师长-Vincent-英语,"=""120239366594850510""",PIC20-合成厨师长-Vincent-英语,2.51,7,0.0,0,0,1186.0,34.0
2026-02-10,android,TW,0,"=""6939195938352""","=""6941353017152""",PIC34-神族阵容-Vincent-繁中,,,0.0,7,0.0,0,0,0.0,0.0
2026-02-10,android,TW,0,"=""120240257805260572""","=""120241465869820572""",PIC18-合成加特林-Vincent-繁中,,,0.0,7,0.0,0,0,0.0,0.0
2026-02-10,android,TW,0,"=""120240257805260572""","=""120240257912910572""",PIC19-合成修理师-Vincent-繁中,,,0.0,7,0.0,0,0,0.0,0.0
2026-02-10,android,US,0,"=""120238648236360510""","=""120239358530950510""",VID19-角色展示轮播2-Vincent-英语,"=""120239358530950510""",VID19-角色展示轮播2-Vincent-英语,100.02,7,0.0,0,0,4601.0,96.0
2026-02-10,android,US,0,"=""6970072321780""","=""6970282527780""",VID11-合成角色展示-Vincent-通用,,,0.0,7,0.0,0,0,0.0,0.0
2026-02-10,android,US,0,"=""120238607155630510""","=""120239357496490510""",PIC23-合成犀牛-Vincent-英语,"=""120239357496490510""",PIC23-合成犀牛-Vincent-英语,89.63,7,0.0,0,0,11491.0,133.0
2026-02-03,android,ID,0,"=""120238770649640510""","=""120238770649810510""",VID15-卡牌滚动-Abbey-英语,"=""120238770649810510""",VID15-卡牌滚动-Abbey-英语,21.12,6,0.0,0,0,17523.0,808.0
