date,account_id,ad_id,ad_name,spend,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026-02-09,1379725066317604,120239531552720510,VID24-DMG战斗2-Vincent-通用,16.04,11176,98,792.0,439.0,3.0
2026-02-09,1379725066317604,120239531552730510,VID06-LUDUS战斗-Vincent,12.76,5566,86,446.0,229.0,3.0
2026-02-09,1379725066317604,120239531590770510,PIC34-神族阵容-Vincent-英语,28.81,18634,330,5.0,3.0,2.0
2026-02-09,1379725066317604,120239531611030510,PIC18-合成加特林-Vincent-英语,4.67,3235,46,0.0,0.0,1.0
2026-02-10,1379725066317604,120239357471640510,PIC19-合成修理师-Vincent-英语,84.71,8237,134,0.0,0.0,0.0
2026-02-10,1379725066317604,120239357471670510,PIC22-合成蛇女-Vincent-英语,2.38,902,3,0.0,0.0,0.0
2026-02-10,1379725066317604,120239357496490510,PIC23-合成犀牛-Vincent-英语,39.44,4933,68,0.0,0.0,0.0
2026-02-10,1379725066317604,120239358530950510,VID19-角色展示轮播2-Vincent-英语,100.02,4601,96,788.0,515.0,3.0
2026-02-10,1379725066317604,120239358530960510,VID22-选择+闯关-Vincent-英语,57.86,2560,64,536.0,492.0,10.0
2026-02-10,1379725066317604,120239358530980510,VID16-阵容组合-Abbey-英语,11.1,402,12,70.0,43.0,4.0
2026-02-10,1379725066317604,120239366594740510,PIC34-神族阵容-Vincent-英语,0.07,32,1,0.0,0.0,0.0
2026-02-10,1379725066317604,120239366594800510,PIC32-机械族阵容-Vincent-英语,0.02,15,0,0.0,0.0,1.0
2026-02-10,1379725066317604,120239366594810510,PIC33-魔族阵容-Vincent-英语,0.07,36,0,0.0,0.0,0.0
2026-02-10,1379725066317604,120239366594850510,PIC20-合成厨师长-Vincent-英语,0.06,32,1,0.0,0.0,0.0
2026-02-10,1379725066317604,120239366594860510,PIC21-合成火法师-Vincent-英语,0.23,290,3,0.0,0.0,0.0
2026-02-10,1379725066317604,120239366594870510,PIC22-合成蛇女-Vincent-英语,0.02,3,1,0.0,0.0,0.0
2026-02-10,1379725066317604,120239366594880510,PIC23-合成犀牛-Vincent-英语,0.02,12,0,0.0,0.0,0.0
2026-02-10,1379725066317604,120239422701190510,PIC五图05-英语,0.84,310,0,0.0,0.0,1.0
2026-02-10,1379725066317604,120239422701200510,PIC五图01-英语,102.04,9510,188,3.0,1.0,3.0
2026-02-10,1379725066317604,120239422701210510,PIC五图02-英语,1.94,407,4,1.0,0.0,2.0
2026-02-10,1379725066317604,120239422701220510,PIC五图03-英语,7.1,790,9,0.0,0.0,1.0
2026-02-10,1379725066317604,120239423107430510,PIC五图02-英语,0.0,2,0,0.0,0.0,1.0
2026-02-10,1379725066317604,120239423107450510,PIC五图05-英语,0.01,1,0,0.0,0.0,0.0
2026-02-10,1379725066317604,120239423107460510,PIC五图04-英语,0.47,428,13,0.0,0.0,1.0
2026-02-10,1379725066317604,120239423540220510,PIC五图06-英语,20.45,2986,23,3.0,2.0,3.0
2026-02-10,1379725066317604,120239504948630510,VID26-魔族失败胜利-Vincent-英语,38.8,2145,29,119.0,78.0,3.0
2026-02-10,1379725066317604,120239528904130510,PIC21-合成火法师-Vincent-英语,84.23,10183,146,0.0,0.0,0.0
2026-02-10,1379725066317604,120239554427840510,PIC35-横版海报-Vincent-通用,30.16,3605,27,0.0,0.0,2.0
2026-02-09,898128255870755,120240257805250572,PIC04-合成场景版-Vincent-繁中,9.77,1664,14,0.0,0.0,0.0
2026-02-09,898128255870755,120240257805270572,PIC30-世界观2-Vincent-繁中,11.88,1556,9,14.0,9.0,2.0
2026-02-09,898128255870755,120240257912910572,PIC19-合成修理师-Vincent-繁中,19.09,2314,27,1.0,0.0,3.0
2026-02-09,898128255870755,120241465869800572,PIC五图01-繁中,6.25,592,11,0.0,0.0,1.0
2026-02-09,898128255870755,120241465869820572,PIC18-合成加特林-Vincent-繁中,3.38,438,10,0.0,0.0,0.0
2026-02-09,898128255870755,120241465869840572,VID10-选择英雄+战斗-Vincent,2.93,453,4,30.0,20.0,2.0
2026-02-09,898128255870755,120241467475140572,PIC五图05-韩语,25.26,3276,26,0.0,0.0,2.0
2026-02-09,898128255870755,120241467560440572,PIC五图01-韩语,11.96,1072,16,0.0,0.0,1.0
