day,os_name,country,events,campaign_id,creative_id_network,creative_network,account_id,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长,match_prio
2026/2/10,android,BR,0,120239366394730510,120239409035370510,VID25-合成合成合成-Vincent-英语,,,,0,9,0,0,0,0,0,0,0,0,1
2026/2/10,android,KR,0,120241467475180572,120241468014060572,VID11-合成角色展示-Vincent-韩语,898128255870755,120241468014060572,VID11-合成角色展示-Vincent-韩语,9.81,0,0,681,11,681,11,67,44,3,1
2026/2/10,android,KR,0,120241467475180572,120241468014200572,VID18-角色展示轮播-Vincent-韩语,898128255870755,120241468014200572,VID18-角色展示轮播-Vincent-韩语,88.27,0,0,5777,120,5777,120,666,424,2,1
2026/2/10,android,KR,0,120241467475180572,120241486368860572,VID24-DMG战斗2-Vincent-韩语,898128255870755,120241486368860572,VID24-DMG战斗2-Vincent-韩语,42.7,0,0,3385,44,3385,44,319,173,3,1
2026/2/10,android,TW,0,6939195938352,6939216113152,PIC08-升级进化-Vincent-繁中,1384270166683478,6939216113152,PIC08-升级进化-Vincent-繁中,15.91,0,0,2983,32,2983,32,0,0,0,1
2026/2/10,android,TW,0,6939195938352,6939210114152,PIC18-合成加特林-Vincent-繁中,1384270166683478,6939210114152,PIC18-合成加特林-Vincent-繁中,25.07,0,0,3392,57,3392,57,1,0,2,1
2026/2/10,android,TW,0,6939195938352,6941353952552,PIC18-合成加特林-Vincent-繁中,1384270166683478,6941353952552,PIC18-合成加特林-Vincent-繁中,20.34,0,0,2344,44,2344,44,0,0,1,1
2026/2/10,android,TW,0,6939195938352,6941395932552,PIC18-合成加特林-Vincent-繁中,1384270166683478,6941395932552,PIC18-合成加特林-Vincent-繁中,31.08,0,0,9118,79,9118,79,0,0,0,1
2026/2/10,android,TW,0,6939195938352,6939210114752,PIC21-合成火法师-Vincent-繁中,1384270166683478,6939210114752,PIC21-合成火法师-Vincent-繁中,72.19,0,0,11012,232,11012,232,0,0,1,1
2026/2/10,android,TW,0,6939195938352,6941353952352,PIC21-合成火法师-Vincent-繁中,1384270166683478,6941353952352,PIC21-合成火法师-Vincent-繁中,39.49,0,0,5632,91,5632,91,0,0,1,1
2026/2/10,android,TW,0,6939195938352,6941395932752,PIC21-合成火法师-Vincent-繁中,1384270166683478,6941395932752,PIC21-合成火法师-Vincent-繁中,42.83,0,0,11848,77,11848,77,0,0,0,1
